timestamp,777204_ML_entry,777215_FR,777244_FR,772690_OR,772691_FR,772981_FR,772982_OR,774412_OR,774413_FR,774458_CD,774459_FF,737211_OR,774193_FF,718318_OR,718319_FR,716844_OR,717961_FR,716846_OR,717965_FR,716850_OR,761735_FR,716852_OR,717974_FR,716854_OR,716856_FF,718043_OR,716858_OR,718477_FR,716861_OR,717982_FR,716862_OR,717991_FR,716864_OR,717994_FR,716866_OR,717999_FR,718004_OR,718005_FR,718494_FR,716869_OR,716871_OR,718009_FR,717802_OR,718013_FR,765597_FF,776229_FR,718015_FR,763935_OR,776256_FF,768446_FR,776243_OR,776187_FR,776188_ML_exit
06/03/2026 00:00:00,110,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,2,30,15,16,,,,,13,16,,,,8,,,,,,,,,,,119
06/03/2026 00:05:00,106,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,1,21,9,20,,,,,8,14,,,,6,,,,,,,,,,,114
06/03/2026 00:10:00,101,,,,,,,,,,,,,,,,,,,,,,,,,,11,20,4,23,5,15,,,,,15,19,,,,2,,,,,,,,,,,112
06/03/2026 00:15:00,101,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,4,34,7,12,,,,,16,17,,,,3,,,,,,,,,,,110
06/03/2026 00:20:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,6,36,5,19,,,,,28,15,,,,8,,,,,,,,,,,104
06/03/2026 00:25:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,2,17,4,25,,,,,15,17,,,,4,,,,,,,,,,,101
06/03/2026 00:30:00,85,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,4,21,6,14,,,,,14,18,,,,5,,,,,,,,,,,99
06/03/2026 00:35:00,106,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,3,22,10,17,,,,,13,8,,,,6,,,,,,,,,,,95
06/03/2026 00:40:00,116,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,3,27,7,12,,,,,11,20,,,,4,,,,,,,,,,,93
06/03/2026 00:45:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2,23,3,14,,,,,10,20,,,,2,,,,,,,,,,,91
06/03/2026 00:50:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,5,14,11,12,,,,,11,24,,,,3,,,,,,,,,,,86
06/03/2026 00:55:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,3,23,11,8,,,,,10,10,,,,3,,,,,,,,,,,80
06/03/2026 01:00:00,81,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,20,4,11,,,,,12,13,,,,5,,,,,,,,,,,76
06/03/2026 01:05:00,90,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,2,15,4,4,,,,,13,15,,,,0,,,,,,,,,,,76
06/03/2026 01:10:00,80,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,11,20,6,7,,,,,15,9,,,,5,,,,,,,,,,,74
06/03/2026 01:15:00,89,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,4,19,3,11,,,,,16,17,,,,1,,,,,,,,,,,72
06/03/2026 01:20:00,94,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,7,21,7,12,,,,,8,10,,,,6,,,,,,,,,,,70
